work_adress,longitude,latitude,city
"esq. Rodrigo Gomez, Calle Av. Aztlan s/n, Sin Nombre de Col 15, 64180 Monterrey, N.L., Mexico",-100.3425083,25.7268286,ZMM
"Gral. Plutarco Elias Calles S/N, Ignacio Zaragoza, Sin Nombre de Col 13, 67160 Guadalupe, N.L., Mexico",-100.2289508,25.6838567,ZMM
"Joaquin A. Mora y, Jorge Gonzalez Camarena, Residencial Roble 4o Sector, Residencial Roble 4to Sector, 66418 San Nicolas de los Garza, N.L., Mexico",-100.2858833,25.7653974,ZMM
"Calle Vicente Guerrero SN-S, Sin Nombre de Col 2, 67450 Cadereyta Jimenez, N.L., Mexico",-100.0041902,25.6009217,ZMM
"Ave. Capitán Alonso De León Km. 3 , Montemorelos Centro , Montemorelos, Sala: Sala Oral Ed. Montemorelos",-99.835933,25.1878759,ZMM
"Av. Manuel L. Barragan s/n , Ex hacienda el canada , General Escobedo, Sala: Sala 1 Ed. Escobedo",-100.3053716,25.7642407,ZMM
"Av. Corregidora 507, Casco Urbano, 66230 San Pedro Garza Garcia, N.L., Mexico",-100.4031154,25.6671913,ZMM
"Av. Constituyentes de Nuevo Leon 204 Sin Nombre de Col 21 Monterrey, N.L. Mexico",-100.2624223,25.6899187,ZMM
"Avenida Eugenio Garza Sada , Tecnologico , Monterrey, Sala: Sala 1 Ed. ITESM",-100.28954,25.6515649,ZMM
"Esq. Jose Garibaldi, Calle Mariano Matamoros 180, Centro, 64000 Monterrey, N.L., Mexico",-100.3170435,25.6701439,ZMM
"Ministerio Publico en Lo Civil Cuarta Agencia, ciudad de Mexico",-99.1641514,19.4344104,CDMX
"Av. Reforma 100, San Lorenzo Tezonco, 09900 Ciudad de Mexico, CDMX",-99.0683772,19.3216059,CDMX
CEFERESO de Santa Martha Acatitla,-99.01350959999999,19.3585123,CDMX
"Jaime Nuno 205, Loma la Palma, 07160 Ciudad de Mexico",-99.15104439999999,19.5451753,CDMX
Reclusorio Sur,-99.12752499999999,19.2346199,CDMX
Federal Center for Criminal Justice in the State of Jalisco,-103.1967181,20.5583468,ZMG
JUZGADOS DE ORALIDAD GUANAJUATO,-101.2793434,20.9425029,GTO
"SN-S 38090, Nochebuena SN-S, Las Flores, 38090 Celaya, Gto., Mexico",-100.815558,20.5020049,CELAYA
"Oralidad Criminal Courts, Leon., Unnamed Road,, Guanajuato, Mexico",-101.6909021,21.0234143,LEÓN
"Carretera Salamanca a Valle de Santiago KilOmetro 1.5, San Rafael Uruetaro, 36880 Salamanca, Gto., Mexico",-101.1890173,20.5287676,SALAMANCA
"Vasco de Quiroga S/N, Centro, Cereso Irapuato, 36500 Irapuato, Gto., Mexico",-101.3329127,20.6619541,IRAPUATO
